Uniprot ID,TC Exp1 20min (log2),TC Exp2 20min (log2),TC Exp3 20min (log2),LY Exp1 Insulin/Starved (log2),LY Exp2 Insulin/Starved (log2),LY Exp3 Insulin/Starved (log2),MK Exp1 Insulin/Starved (log2),MK Exp2 Insulin/Starved (log2),MK Exp3 Insulin/Starved (log2)
Q7M732;B4YB44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q7M732;B4YB44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P25425-12;P25425;P25425-1;P25425-5;P25425-6;P25425-2;P25425-4;P25425-3;P25425-8;P25425-11;P25425-9;P25425-7;P25425-10;Q7TSC9;Q8C4C1,0.51,NaN,1.08,NaN,1.05,0.56,NaN,NaN,NaN
P25425-12;P25425;P25425-1;P25425-5;P25425-6;P25425-2;P25425-4;P25425-3;P25425-8;P25425-11;P25425-9;P25425-7;P25425-10;Q7TSC9;Q8C4C1;P31362;P70260;Q3U5D1,NaN,NaN,6.03,NaN,NaN,NaN,NaN,NaN,NaN
P25425-12;P25425;P25425-1;P25425-5;P25425-6;P25425-2;P25425-4;P25425-3;P25425-8;P25425-11;P25425-9;P25425-7;P25425-10;Q7TSC9;Q8C4C1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P25425-12;P25425;P25425-1;P25425-5;P25425-6;P25425-2;P25425-4;P25425-3;P25425-8;P25425-11;P25425-9;P25425-7;P25425-10;Q7TSC9;Q8C4C1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P25425-12;P25425;P25425-1;P25425-5;P25425-6;P25425-2;P25425-4;P25425-3;P25425-8;P25425-11;P25425-9;P25425-7;P25425-10;Q7TSC9;Q8C4C1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B7ZNM7;Q9Z2Q6;Q68FM0;Q52KH2,0.11,-0.08,0.21,NaN,-0.16,NaN,NaN,0.15,NaN
Q3UGE0;Q3UNN1;Q5DTS3;Q8C2A3;O55131,NaN,NaN,NaN,NaN,0.17,NaN,NaN,NaN,NaN
Q3UGE0;Q3UNN1;Q5DTS3;Q8C2A3;O55131,0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q3UGE0;Q3UNN1;Q5DTS3;Q8C2A3;O55131,NaN,NaN,NaN,NaN,-1.29,NaN,NaN,NaN,NaN
Q3UGE0;Q3UNN1;Q5DTS3;Q8C2A3;O55131,-0.23,-0.14,-0.27,-0.73,-1.66,-1.46,-1.36,-1.83,-1.35
Q3UGE0;Q3UNN1;Q5DTS3;Q8C2A3;O55131,0.29,0.11,0.03,NaN,-0.26,-0.10,NaN,-0.32,0.29
Q8C650-2;Q8C650;Q8C650-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8C650-2;Q8C650;Q8C650-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8C650-2;Q8C650,-1.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q5EBG8;A2A7Q3,2.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q1AN92,-0.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A2BE20,1.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A2BE20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A2ART2;A3KQJ7;A2BE20,2.19,NaN,0.70,NaN,NaN,NaN,NaN,3.39,0.93
A2ART2;A3KQJ7;A2BE20,NaN,NaN,0.28,NaN,NaN,NaN,NaN,3.10,NaN
A2ART2;A3KQJ7;A2BE20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q6DI94-1;Q6DI94;Q8BYL8,0.03,NaN,NaN,0.16,0.40,NaN,-0.09,NaN,NaN
Q6DI94-1;Q6DI94;Q8BYL8,0.03,NaN,NaN,0.16,0.40,NaN,-0.09,NaN,NaN
