"","Uniprot.ID","TC.Exp1.20min..log2.","TC.Exp2.20min..log2.","TC.Exp3.20min..log2.","LY.Exp1.Insulin.Starved..log2.","LY.Exp2.Insulin.Starved..log2.","LY.Exp3.Insulin.Starved..log2.","MK.Exp1.Insulin.Starved..log2.","MK.Exp2.Insulin.Starved..log2.","MK.Exp3.Insulin.Starved..log2."
"3","P25425-12;P25425;P25425-1;P25425-5;P25425-6;P25425-2;P25425-4;P25425-3;P25425-8;P25425-11;P25425-9;P25425-7;P25425-10;Q7TSC9;Q8C4C1"," 0.51",NA," 1.08",NA," 1.05"," 0.56",NA,NA,NA
"4","P25425-12;P25425;P25425-1;P25425-5;P25425-6;P25425-2;P25425-4;P25425-3;P25425-8;P25425-11;P25425-9;P25425-7;P25425-10;Q7TSC9;Q8C4C1;P31362;P70260;Q3U5D1",NA,NA," 6.03",NA,NA,NA,NA,NA,NA
"8","B7ZNM7;Q9Z2Q6;Q68FM0;Q52KH2"," 0.11","-0.08"," 0.21",NA,"-0.16",NA,NA,"  0.15",NA
"9","Q3UGE0;Q3UNN1;Q5DTS3;Q8C2A3;O55131",NA,NA,NA,NA," 0.17",NA,NA,NA,NA
"10","Q3UGE0;Q3UNN1;Q5DTS3;Q8C2A3;O55131"," 0.08",NA,NA,NA,NA,NA,NA,NA,NA
"11","Q3UGE0;Q3UNN1;Q5DTS3;Q8C2A3;O55131",NA,NA,NA,NA,"-1.29",NA,NA,NA,NA
"12","Q3UGE0;Q3UNN1;Q5DTS3;Q8C2A3;O55131","-0.23","-0.14","-0.27","-0.73","-1.66","-1.46"," -1.36"," -1.83","-1.35"
"13","Q3UGE0;Q3UNN1;Q5DTS3;Q8C2A3;O55131"," 0.29"," 0.11"," 0.03",NA,"-0.26","-0.10",NA," -0.32"," 0.29"
"16","Q8C650-2;Q8C650","-1.23",NA,NA,NA,NA,NA,NA,NA,NA
"17","Q5EBG8;A2A7Q3"," 2.98",NA,NA,NA,NA,NA,NA,NA,NA
"18","Q1AN92","-0.11",NA,NA,NA,NA,NA,NA,NA,NA
"19","A2BE20"," 1.89",NA,NA,NA,NA,NA,NA,NA,NA
"21","A2ART2;A3KQJ7;A2BE20"," 2.19",NA," 0.70",NA,NA,NA,NA,"  3.39"," 0.93"
"22","A2ART2;A3KQJ7;A2BE20",NA,NA," 0.28",NA,NA,NA,NA,"  3.10",NA
"24","Q6DI94-1;Q6DI94;Q8BYL8"," 0.03",NA,NA," 0.16"," 0.40",NA," -0.09",NA,NA
"25","Q6DI94-1;Q6DI94;Q8BYL8"," 0.03",NA,NA," 0.16"," 0.40",NA," -0.09",NA,NA
"26","Q6DI94-1;Q6DI94;Q8BYL8","-0.12",NA,NA,NA,NA,NA,"  0.37",NA,NA
"27","Q6DI94-1;Q6DI94;Q8BYL8","-0.12",NA,NA,NA,NA,NA,"  0.37",NA,NA
"28","Q6DI94-1;Q6DI94;Q8BYL8","-0.12",NA,NA,NA,NA,NA,"  0.37",NA,NA
"30","Q9CW83"," 4.26",NA,NA,NA,NA,NA,NA,NA,NA
"31","Q9D1A0;Q3TGK4;Q3TGU8;Q3UKU2"," 0.40",NA,NA,NA,NA,NA,NA,NA,NA
"32","Q8C5H8-3;Q8C5H8;Q14BL1;Q9CUB4;Q8C5H8-2;Q8C5H8-1","-0.19"," 0.00",NA,NA,NA,NA,NA,NA,NA
"33","Q6P3B9;Q3UKZ0",NA,NA,"-0.17",NA,NA,NA,NA,NA,NA
"37","Q8CFK9;A2AIV2-1;A2AIV2;A2AIV2-2","-0.74",NA,"-0.18"," 0.17","-0.14"," 0.19","  0.30","  0.53"," 0.30"
"38","Q8CFK9;A2AIV2-1;A2AIV2;A2AIV2-2","-0.82",NA,"-0.43"," 0.17"," 0.31"," 0.23","  0.30","  0.53",NA
"39","Q8CFK9;A2AIV2-1;A2AIV2",NA,NA,"-1.06",NA,NA,NA,NA,NA,NA
"41","Q8CFK9;A2AIV2-1;A2AIV2","-0.50",NA,NA,NA," 0.31",NA,NA,NA,NA
"42","Q8CFK9;A2AIV2-1;A2AIV2","-0.56","-0.11",NA," 0.46"," 0.30"," 0.13","  0.73","  0.03"," 0.11"
"43","Q8CFK9;A2AIV2-1;A2AIV2;A2AIV2-2","-0.67","-0.26","-0.16"," 0.19"," 0.00"," 0.01"," -0.15","  0.22"," 0.17"
"46","Q8BZR9-1;Q8BZR9;B2KG93;Q3TLD7;Q7TPS9"," 2.96",NA,NA,NA,NA,NA,NA,NA,NA
"47","Q8BZR9-1;Q8BZR9;B2KG93;Q3TLD7;Q7TPS9"," 2.96",NA,NA,NA,NA,NA,NA,NA,NA
"50","Q8BZR9-1;Q8BZR9;B2KG93;Q3TLD7;Q7TPS9",NA,NA,NA," 1.85",NA,NA,NA,NA,NA
"51","Q8BZR9-1;Q8BZR9;B2KG93;Q3TLD7;Q7TPS9",NA,NA,NA," 1.85",NA,NA,NA,NA,NA
"52","Q8BZR9-1;Q8BZR9;B2KG93;Q3TLD7;Q7TPS9","-0.15",NA,"-0.51",NA," 0.33",NA,NA,NA,NA
"53","Q8BZR9-1;Q8BZR9;B2KG93;Q3TLD7;Q7TPS9","-0.13"," 0.01",NA,NA," 0.37",NA," -0.39","  0.26",NA
"54","Q8C190-2;Q8C190;Q3U280;Q8C190-1;Q8VDI6",NA,NA,"-2.27",NA,NA,NA,NA,NA,NA
"57","Q14AR7;Q2NL54","-0.14",NA,"-1.43","-1.87"," 0.08",NA,NA,NA,NA
"58","Q14AR7;Q2NL54","-2.06",NA,NA,NA,"-2.74",NA," -2.07",NA,NA
"59","Q14AR7;Q2NL54",NA,NA,"-1.43","-1.87",NA,NA,NA,NA,NA
"63","Q14AA6;P62827;Q3ULW0"," 0.22",NA," 0.22",NA," 0.01","-0.21",NA," -0.34"," 0.06"
"64","Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q8BNT0","-0.38"," 0.12"," 0.91","-0.26","-0.05",NA,"  0.34",NA,NA
"65","Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q8BNT0","-0.14","-0.13",NA,NA," 0.10"," 0.24",NA,"  0.65",NA
"66","Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q8BNT0",NA,NA,NA,NA," 0.16"," 0.29",NA,NA,NA
"67","Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q8BNT0",NA," 0.05",NA," 0.49",NA,NA,NA,NA,NA
"68","Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q8BNT0","-0.16",NA,NA,NA," 0.10",NA,NA,"  0.65",NA
"71","Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q3TEI4-2","-0.19",NA,NA,NA,NA," 0.59",NA,NA,NA
"72","Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q3TEI4-2",NA,NA,NA,NA," 0.10",NA,NA,NA,NA
"73","Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q3TEI4-2"," 0.53"," 0.53",NA,NA,NA," 0.49",NA,NA,NA
"76","Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q3TEI4-2"," 0.43",NA,NA,NA,NA,NA,NA,NA,NA
"77","Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q3TEI4-2","-0.53",NA,NA,NA," 0.07"," 0.02",NA,NA,NA
"78","Q8K207;Q3TJL3"," 0.48"," 0.24","-1.56",NA,NA,"-0.05",NA," -0.35"," 0.07"
